series_title;my_finish_date;my_score;my_status;my_watched_episodes;my_start_date;series_episodes;series_type;series_animedb_id
"""Oshi no Ko""";2023-07-02;7;Completed;11;2023-06-10;11;TV;52034
"""Oshi no Ko"" 2nd Season";0000-00-00;0;Watching;1;2024-11-20;13;TV;55791
001;2020-05-31;3;Completed;1;2020-05-31;1;ONA;29978
Adachi to Shimamura;2021-01-05;7;Completed;12;2020-10-18;12;TV;39790
Akira;2020-08-28;8;Completed;1;2020-08-28;1;Movie;47
Akudama Drive;2021-01-03;8;Completed;12;2020-10-12;12;TV;41433
Aldnoah.Zero;2022-08-13;8;Completed;12;2022-08-10;12;TV;22729
Aldnoah.Zero Part 2;2022-08-22;7;Completed;12;2022-08-17;12;TV;27655
Amagi Brilliant Park;0000-00-00;0;Plan to Watch;0;0000-00-00;13;TV;22147
Another;2020-08-01;5;Completed;12;2020-07-31;12;TV;11111
Another: The Other - Inga;2020-08-02;5;Completed;1;2020-08-02;1;OVA;11701
Ansatsu Kyoushitsu;2024-02-26;8;Completed;22;2024-02-22;22;TV;24833
Ansatsu Kyoushitsu 2nd Season;2024-03-09;8;Completed;25;2024-02-27;25;TV;30654
Ashita no Joe;0000-00-00;0;Plan to Watch;0;0000-00-00;79;TV;2402
Asobi Asobase;2024-02-21;8;Completed;12;2024-02-19;12;TV;37171
Assassins Pride;2019-12-29;4;Completed;12;2019-10-13;12;TV;38572
Azumanga Daiou The Animation;0000-00-00;0;Plan to Watch;0;0000-00-00;26;TV;66
Baccano!;2020-07-25;9;Completed;13;2020-07-23;13;TV;2251
Baccano! Specials;2020-07-25;8;Completed;3;2020-07-25;3;Special;3901
Baguda-jou no Touzoku;2020-01-29;5;Completed;1;2020-01-29;1;Movie;28041
Bakemonogatari;2020-08-17;8;Completed;15;2020-08-05;15;TV;5081
Beastars;2019-12-26;9;Completed;12;2019-10-13;12;TV;39195
Beastars 2nd Season;2022-05-03;9;Completed;12;2021-01-14;12;TV;40935
Bishoujo Senshi Sailor Moon;0000-00-00;0;Plan to Watch;0;0000-00-00;46;TV;530
Black Lagoon;2020-12-04;8;Completed;12;2020-12-04;12;TV;889
Black Lagoon: Roberta's Blood Trail;2020-12-11;8;Completed;5;2020-12-09;5;OVA;4901
Black Lagoon: The Second Barrage;2020-12-09;8;Completed;12;2020-12-07;12;TV;1519
Bleach;0000-00-00;0;Plan to Watch;0;0000-00-00;366;TV;269
Blend S;2019-04-09;7;Completed;12;2019-04-07;12;TV;34618
Boku dake ga Inai Machi;2020-05-28;8;Completed;12;2020-05-27;12;TV;31043
Boku no Hero Academia;2018-11-25;8;Completed;13;2018-11-21;13;TV;31964
Boku no Hero Academia 2nd Season;2018-11-30;8;Completed;25;2018-11-25;25;TV;33486
Boku no Hero Academia 3rd Season;2018-12-05;8;Completed;25;2018-11-30;25;TV;36456
Boku no Hero Academia 4th Season;2020-04-05;8;Completed;25;2019-10-12;25;TV;38408
Boku no Hero Academia 5th Season;0000-00-00;0;Plan to Watch;0;0000-00-00;25;TV;41587
Boku no Hero Academia the Movie 1: Futari no Hero;2020-05-24;8;Completed;1;2020-05-24;1;Movie;36896
Boku no Hero Academia the Movie 2: Heroes:Rising;2020-07-26;8;Completed;1;2020-07-26;1;Movie;39565
Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren;2020-08-16;7;Completed;2;2020-08-16;2;ONA;42603
Boku no Hero Academia: Sukue! Kyuujo Kunren!;2020-07-26;6;Completed;1;2020-07-26;1;OVA;33929
Bungou Stray Dogs;2020-07-04;8;Completed;12;2020-07-03;12;TV;31478
Bungou Stray Dogs 2nd Season;2020-07-13;9;Completed;12;2020-07-05;12;TV;32867
Bungou Stray Dogs 3rd Season;2020-07-17;8;Completed;12;2020-07-13;12;TV;38003
Bungou Stray Dogs 4th Season;0000-00-00;0;Plan to Watch;0;0000-00-00;13;TV;50330
Bungou Stray Dogs Wan!;2021-04-04;7;Completed;12;2021-01-21;12;TV;42250
Bungou Stray Dogs: Dead Apple;2020-07-26;8;Completed;1;2020-07-26;1;Movie;34944
Bungou Stray Dogs: Hitori Ayumu;2020-07-13;8;Completed;1;2020-07-13;1;OVA;33071
Burn the Witch;2020-10-06;8;Completed;3;2020-10-05;3;ONA;41468
Captain Herlock;0000-00-00;0;Plan to Watch;0;0000-00-00;1;Movie;17269
Chainsaw Man;2023-04-23;8;Completed;12;2022-11-23;12;TV;44511
Chuunibyou demo Koi ga Shitai!;2020-05-30;7;Completed;12;2020-05-28;12;TV;14741
Chuunibyou demo Koi ga Shitai! Movie: Take On Me;2020-05-31;8;Completed;1;2020-05-31;1;Movie;35608
Chuunibyou demo Koi ga Shitai! Ren;2020-05-31;7;Completed;12;2020-05-30;12;TV;18671
City Hunter;0000-00-00;0;Plan to Watch;0;0000-00-00;51;TV;1470
Code Geass: Fukkatsu no Lelouch;2020-05-24;8;Completed;1;2020-05-24;1;Movie;34437
